band,wavelength,I_photo_sky,mag_sky,mag_pts
0,4000,0.1534,20.74,20.42
1,4125,0.2052,20.81,20.49
2,4250,0.2221,20.91,20.59
3,4375,0.2557,20.93,20.62
4,4500,0.2999,20.93,20.61
5,4625,0.3221,20.94,20.62
6,4750,0.3342,20.95,20.63
7,4875,0.3399,20.96,20.64
8,5000,0.3358,20.96,20.64
9,5125,0.3294,20.94,20.62
10,5250,0.3244,20.91,20.6
11,5375,0.3163,20.88,20.56
12,5500,0.3945,20.72,20.41
13,5625,0.387,20.67,20.35
14,5750,0.2952,20.73,20.41
15,5875,0.3071,20.66,20.34
16,6000,0.2886,20.62,20.3
17,6125,0.2578,20.61,20.29
18,6250,0.3169,20.44,20.13
19,6375,0.3047,20.39,20.07
20,6500,0.2267,20.45,20.13
21,6625,0.2006,20.42,20.1
22,6750,0.1819,20.36,20.04
23,6875,0.1755,20.25,19.93
24,7000,0.152,20.19,19.88
25,7125,0.1333,20.13,19.81
26,7250,0.1632,19.9,19.58
27,7375,0.1617,19.76,19.44
28,7500,0.1099,19.69,19.38
29,7625,0.09589,19.5,19.18
30,7750,0.1262,19.3,18.98
31,7875,0.1438,19.17,18.85
32,8000,0.1081,19.12,18.8
33,8125,0.06286,19.13,18.81
34,8250,0.07501,18.92,18.61
35,8375,0.1058,18.7,18.38
36,8500,0.08193,18.66,18.34
37,8625,0.06379,18.61,18.29
38,8750,0.09328,18.37,18.05
39,8875,0.1067,18.18,17.86
