band,wavelength,I_photo_sky,mag_sky,mag_pts
0,4000,0.1534,23.15,22.83
1,4125,0.2052,23.18,22.87
2,4250,0.2221,23.28,22.96
3,4375,0.2557,23.29,22.97
4,4500,0.2999,23.27,22.96
5,4625,0.3221,23.28,22.96
6,4750,0.3342,23.29,22.97
7,4875,0.3399,23.29,22.97
8,5000,0.3358,23.29,22.98
9,5125,0.3294,23.28,22.96
10,5250,0.3244,23.26,22.94
11,5375,0.3163,23.22,22.9
12,5500,0.3945,23.05,22.73
13,5625,0.387,23,22.68
14,5750,0.2952,23.08,22.76
15,5875,0.3071,23,22.68
16,6000,0.2886,22.97,22.65
17,6125,0.2578,22.97,22.65
18,6250,0.3169,22.79,22.47
19,6375,0.3047,22.74,22.42
20,6500,0.2267,22.82,22.5
21,6625,0.2006,22.8,22.48
22,6750,0.1819,22.75,22.43
23,6875,0.1755,22.64,22.32
24,7000,0.152,22.6,22.28
25,7125,0.1333,22.55,22.23
26,7250,0.1632,22.3,21.98
27,7375,0.1617,22.16,21.84
28,7500,0.1099,22.15,21.83
29,7625,0.09589,21.97,21.65
30,7750,0.1262,21.73,21.41
31,7875,0.1438,21.58,21.26
32,8000,0.1081,21.57,21.25
33,8125,0.06286,21.67,21.35
34,8250,0.07501,21.44,21.12
35,8375,0.1058,21.16,20.84
36,8500,0.08193,21.16,20.84
37,8625,0.06379,21.15,20.83
38,8750,0.09328,20.84,20.52
39,8875,0.1067,20.64,20.32
